,session,scan_idx,unit_id,pt_root_id,n_pre,n_post,pt_x,pt_y,pt_z,horizontal_dist,Vertical_dist,soma_dist,pref_ori,pref_dir,gOSI,gDSI,cc_abs,cc_max,cc_norm,OSI,DSI,readout_loc_x,readout_loc_y,pt_position,classification_system,cell_type,status_dendrite,status_axon,strategy_dendrite,strategy_axon
0,4,7,6162,864691135342848433,1,7,560.256,683.264,714.72,61.346391711330504,49.728,78.96995479294641,169.675,349.675,0.129846,0.0929454,0.386217,0.766258,0.50403,0.2812665,0.13527556,-0.25257194,-0.1594401,[140064 170816  17868],excitatory_neuron,L4b,True,True,dendrite_extended,axon_partially_extended
1,5,6,4860,864691135276505573,2,8,540.096,642.24,809.36,55.28925479693139,90.752,106.26771475852861,92.445595,92.445595,0.125578,0.167449,0.281679,0.474348,0.5938235,0.23429967,0.48931053,-0.17263752,-0.113300264,[135024 160560  20234],excitatory_neuron,L4a,True,True,dendrite_extended,axon_partially_extended
2,5,6,5434,864691135384344043,1,0,720.256,618.048,751.4,202.76054590575555,114.944,233.075013916121,79.00901,259.009,0.584147,0.291046,0.675405,0.869006,0.7772156,0.8462956,0.5438218,-0.109799445,-0.07110894,[180064 154512  18785],excitatory_neuron,L4a,True,True,dendrite_extended,axon_partially_extended
3,5,6,7206,864691136195652328,1,0,694.592,774.08,809.8,184.15146809080835,-41.088,188.67958804279812,3.2539992,3.2539992,0.363226,0.0201036,0.525759,0.701903,0.74904794,0.6099256,0.029293057,-0.16309214,-0.006769061,[173648 193520  20245],excitatory_neuron,L4b,True,True,dendrite_extended,axon_partially_extended
4,5,7,4923,864691135067066948,1,1,582.592,617.792,880.36,137.7930041765546,115.2,179.60498879485502,25.050709,205.0507,0.475929,0.487096,0.723444,0.846913,0.8542129,0.7690405,0.794539,-0.20700002,0.045717478,[145648 154448  22009],excitatory_neuron,L4a,True,True,dendrite_extended,axon_partially_extended
5,6,2,4671,864691136040834558,1,2,592.768,621.376,765.84,75.46137088603678,111.616,134.73139928019748,56.63642,56.63642,0.306419,0.323721,0.469776,0.608577,0.77192533,0.5485515,0.6826121,-0.08603519,0.005174041,[148192 155344  19146],excitatory_neuron,L4a,True,True,dendrite_extended,axon_partially_extended
6,6,2,4944,864691135996158378,2,4,556.288,619.2,746.76,40.49953994800435,113.792,120.7842373822015,152.37239,152.37239,0.253964,0.145178,0.344706,0.592576,0.58170766,0.48858613,0.3498296,-0.17999977,-0.04797578,[139072 154800  18669],excitatory_neuron,L4b,True,True,dendrite_extended,axon_partially_extended
7,6,2,5020,864691135346685855,1,2,585.344,609.6,802.96,80.81763015580202,123.392,147.50279661077616,0.65989536,180.6599,0.489485,0.0240073,0.408084,0.615336,0.6631889,0.81917286,0.010947187,-0.1817199,-0.044513702,[146336 152400  20074],excitatory_neuron,L4b,True,True,dendrite_extended,axon_partially_extended
8,6,4,4863,864691135874914702,1,1,590.144,603.712,741.08,74.65525931908616,129.28,149.2873944578041,18.57363,18.57363,0.457381,0.202494,0.166179,0.517233,0.3212846,0.7325878,0.43307546,-0.18919355,-0.16338366,[147536 150928  18527],excitatory_neuron,L3b,True,True,dendrite_extended,axon_partially_extended
9,6,4,6930,864691136314250813,1,0,685.504,715.52,947.92,252.8482841231081,17.472,253.45122917042642,127.581085,127.581085,0.170353,0.0627068,0.382093,0.700585,0.5453914,0.33635154,0.09803429,-0.21921569,0.019122124,[171376 178880  23698],inhibitory_neuron,ITC,True,True,dendrite_extended,axon_partially_extended
10,6,4,8804,864691135750642473,1,0,779.456,864.512,888.2,292.03735476133875,-131.52,320.28632030731507,53.813763,233.81377,0.111982,0.25326,0.443005,0.698401,0.6343132,0.21819426,0.6195214,-0.15870202,-0.014336526,[194864 216128  22205],excitatory_neuron,L6short-a,True,True,dendrite_extended,axon_partially_extended
11,6,7,4304,864691135368949241,1,0,633.024,595.456,752.48,115.56713747428375,137.536,179.643854779394,50.751305,230.7513,0.418291,0.204355,0.30692,0.53957,0.56882334,0.6766689,0.4758228,-0.17878938,-0.08912307,[158256 148864  18812],excitatory_neuron,L3b,True,True,dendrite_extended,axon_partially_extended
12,6,7,6545,864691135293678006,1,0,700.736,707.264,842.92,201.48578415362212,25.728,203.12176446653868,101.427704,281.4277,0.279415,0.0625755,0.466057,0.268718,1.7343721,0.51178485,0.1849602,-0.17627925,-0.099636674,[175184 176816  21073],excitatory_neuron,L4c,True,True,dendrite_extended,axon_partially_extended
13,7,3,4933,864691137199050049,3,13,558.72,672.192,761.04,41.14685582155701,60.8,73.41460170837952,102.75181,282.7518,0.160863,0.0357061,0.493994,0.612362,0.80670255,0.32077453,0.12209081,-0.160541,-0.064915776,[139680 168048  19026],excitatory_neuron,L4b,True,True,dendrite_extended,axon_partially_extended
14,7,3,8778,864691135941829121,2,0,736.768,803.136,831.88,230.98793928688139,-70.144,241.40341512083046,5.3426795,185.34268,0.0948419,0.0655914,0.572412,0.547691,1.0451368,0.19173346,0.014522259,-0.10866809,-0.06312752,[184192 200784  20797],inhibitory_neuron,PTC,True,True,dendrite_extended,axon_partially_extended
15,8,5,5458,864691136664845278,2,0,759.168,537.088,849.08,257.84277553579045,195.904,323.82290547767,42.684326,42.684326,0.129014,0.205926,0.496016,0.488096,1.0162263,0.24469203,0.5688131,-0.14546019,-0.0857383,[189792 134272  21227],excitatory_neuron,L3a,True,True,dendrite_extended,axon_fully_extended
16,9,3,2552,864691136313406781,1,0,670.016,630.272,886.48,198.77840188511425,102.72,223.75042224764627,94.681274,94.681274,0.304537,0.081551,0.604172,0.654511,0.92308915,0.5353735,0.1758944,-0.14794028,-0.016409934,[167504 157568  22162],excitatory_neuron,L4b,True,True,dendrite_extended,axon_partially_extended
17,9,3,2895,864691136725093373,1,4,556.992,648.704,737.44,44.80144640522223,84.288,95.454892719022,0.60661024,180.60661,0.479791,0.147552,0.630887,0.656658,0.9607543,0.76347065,0.33213183,-0.1738742,-0.10561842,[139248 162176  18436],excitatory_neuron,L4b,True,True,dendrite_extended,axon_partially_extended
18,9,3,5306,864691135927381774,1,4,541.12,661.056,803.8,50.72561230778787,71.936,88.02201906341391,23.82286,203.82286,0.296526,0.186152,0.547945,0.826499,0.66297114,0.53357905,0.45398206,-0.11916423,-0.12113094,[135280 165264  20095],excitatory_neuron,L4a,True,True,dendrite_extended,axon_partially_extended
19,9,3,5337,864691135294441654,1,0,705.728,642.88,837.2,203.76553883323842,90.112,222.80163230999904,159.47307,159.47307,0.12785,0.0884089,0.666945,0.793939,0.84004563,0.25016868,0.2629395,-0.12057608,-0.015423,[176432 160720  20930],excitatory_neuron,L4b,True,True,dendrite_extended,axon_fully_extended
